一 P21'S01
私 P01'S04'S01'S03'S04'S05'S14'S06
每 P12'S04'S01'S14'S20'S01'S06'S06
兵 P11'S04'S03'S01'S03'S01'S04'S05
估 P02'S04'S03'S01'S03'S03'S08'S01
体 P02'S04'S03'S01'S03'S04'S05'S01
何 P02'S04'S03'S01'S03'S08'S12
但 P04'S04'S03'S03'S08'S01'S01'S01
伸 P02'S04'S03'S03'S08'S01'S01'S03
作 P02'S04'S03'S04'S01'S03'S01'S01
伯 P02'S04'S03'S04'S03'S08'S01'S01
伶 P02'S04'S03'S04'S05'S06'S09'S06
佣 P02'S04'S03'S04'S20'S01'S01'S03
低 P02'S04'S03'S04'S13'S01'S17'S06
你 P02'S04'S03'S04'S10'S12'S04'S06
住 P02'S04'S03'S06'S01'S01'S03'S01
位 P02'S04'S03'S06'S01'S06'S04'S01
伴 P02'S04'S03'S06'S04'S01'S01'S03
身 P21'S04'S03'S20'S01'S01'S01'S04
皂 P11'S04'S03'S08'S01'S01'S01'S24
佛 P02'S04'S03'S08'S01'S29'S04'S03
近 P37'S04'S04'S01'S03'S06'S26'S05
彻 P04'S04'S04'S03'S01'S24'S20'S04
役 P04'S04'S04'S03'S04'S27'S09'S05
返 P37'S04'S04'S09'S05'S06'S26'S05
余 P12'S04'S05'S01'S01'S12'S04'S06
希 P12'S04'S06'S01'S04'S03'S20'S03
坐 P15'S04'S05'S04'S05'S01'S03'S01
谷 P14'S04'S05'S04'S05'S03'S08'S01
妥 P12'S04'S06'S06'S04'S15'S04'S01
含 P11'S04'S05'S06'S09'S03'S08'S01
邻 P01'S04'S05'S06'S09'S06'S28'S03
岔 P11'S04'S05'S20'S04'S03'S11'S03
肝 P02'S04'S20'S01'S01'S01'S01'S03
肚 P02'S04'S20'S01'S01'S01'S03'S01
肠 P02'S04'S20'S01'S01'S30'S04'S04
龟 P21'S04'S09'S03'S08'S01'S01'S24
免 P21'S04'S09'S03'S08'S01'S04'S24
狂 P02'S04'S16'S04'S01'S01'S03'S01
犹 P02'S04'S16'S04'S01'S04'S24'S06
角 P21'S04'S09'S04'S20'S01'S01'S03
删 P01'S04'S20'S04'S20'S01'S03'S12
条 P11'S04'S09'S05'S01'S12'S04'S06
卵 P01'S04'S13'S04'S06'S04'S03'S06
岛 P38'S04'S20'S06'S29'S03'S11'S03
迎 P37'S04'S13'S20'S03'S06'S26'S05
饭 P02'S04'S10'S13'S04'S04'S09'S05
饮 P02'S04'S10'S13'S04'S10'S04'S05
系 P14'S04'S14'S14'S06'S12'S04'S06
言 P21'S06'S01'S01'S01'S03'S08'S01
冻 P02'S06'S02'S01'S14'S12'S04'S06
状 P02'S03'S06'S02'S01'S04'S05'S06
亩 P12'S06'S01'S03'S08'S01'S03'S01
况 P04'S06'S02'S03'S08'S01'S04'S24
床 P36'S06'S01'S04'S01'S03'S04'S05
库 P36'S06'S01'S04'S01'S14'S01'S03
疗 P36'S06'S01'S04'S06'S02'S09'S12
应 P36'S06'S01'S04'S06'S06'S04'S01
冷 P02'S06'S02'S04'S05'S06'S09'S06
这 P37'S06'S01'S04'S05'S06'S26'S05
序 P36'S06'S01'S04'S09'S06'S10'S12
辛 P11'S06'S01'S06'S04'S01'S01'S03
弃 P11'S06'S01'S14'S06'S01'S04'S03
冶 P04'S06'S02'S14'S06'S03'S08'S01
忘 P11'S06'S01'S11'S06'S24'S06'S06
闲 P32'S06'S03'S20'S01'S03'S04'S05
间 P32'S06'S03'S20'S03'S08'S01'S01
闷 P32'S06'S03'S20'S06'S24'S06'S06
判 P01'S06'S04'S01'S01'S04'S03'S12
灶 P02'S06'S04'S04'S05'S01'S03'S01
灿 P02'S06'S04'S04'S05'S03'S11'S03
弟 P21'S06'S04'S08'S01'S29'S03'S04
汪 P02'S06'S06'S02'S01'S01'S03'S01
沙 P02'S06'S06'S02'S03'S04'S06'S04
汽 P02'S06'S06'S02'S04'S01'S01'S21
沃 P02'S06'S06'S02'S04'S01'S04'S05
泛 P02'S06'S06'S02'S04'S06'S09'S05
沟 P02'S06'S06'S02'S04'S20'S14'S06
没 P04'S06'S06'S02'S04'S27'S09'S05
沈 P02'S06'S06'S02'S06'S10'S04'S24
沉 P02'S06'S06'S02'S06'S10'S04'S27
怀 P02'S06'S06'S03'S01'S04'S03'S06
忧 P02'S06'S06'S03'S01'S04'S24'S06
快 P02'S06'S06'S03'S08'S01'S04'S05
完 P12'S06'S06'S10'S01'S01'S04'S24
宋 P12'S06'S06'S10'S01'S03'S04'S05
宏 P12'S06'S06'S10'S01'S04'S14'S06
牢 P12'S06'S06'S10'S04'S01'S01'S03
究 P11'S06'S06'S10'S04'S06'S04'S27
穷 P11'S06'S06'S10'S04'S06'S20'S04
灾 P12'S06'S06'S10'S06'S04'S04'S05
良 P21'S06'S08'S01'S01'S13'S04'S05
证 P02'S06'S19'S01'S03'S01'S03'S01
启 P36'S06'S08'S01'S04'S03'S08'S01
评 P02'S06'S19'S01'S06'S04'S01'S03
补 P01'S06'S09'S03'S04'S06'S03'S06
初 P02'S06'S09'S03'S04'S06'S20'S04
社 P02'S06'S09'S03'S06'S01'S03'S01
识 P02'S06'S19'S03'S08'S01'S04'S05
诉 P02'S06'S19'S04'S04'S01'S03'S06
诊 P02'S06'S19'S04'S05'S04'S04'S04
词 P02'S06'S19'S20'S01'S03'S08'S01
译 P02'S06'S19'S09'S05'S01'S01'S03
君 P36'S08'S01'S01'S04'S03'S08'S01
灵 P12'S08'S01'S01'S06'S04'S04'S05
即 P01'S08'S01'S01'S13'S06'S20'S03
层 P36'S08'S01'S04'S01'S01'S14'S06
尿 P36'S08'S01'S04'S12'S09'S04'S05
尾 P36'S08'S01'S04'S04'S01'S01'S24
迟 P37'S08'S01'S04'S05'S06'S26'S05
局 P36'S08'S01'S04'S20'S03'S08'S01
改 P02'S08'S01'S24'S04'S01'S04'S05
张 P02'S08'S01'S29'S04'S01'S13'S05
忌 P11'S08'S01'S24'S06'S24'S06'S06
际 P02'S28'S03'S01'S01'S12'S04'S06
陆 P02'S28'S03'S01'S01'S03'S11'S03
阿 P02'S28'S03'S01'S12'S03'S08'S01
陈 P02'S28'S03'S01'S14'S12'S04'S06
阻 P02'S28'S03'S03'S08'S01'S01'S01
附 P04'S28'S03'S04'S03'S01'S12'S06
妙 P02'S15'S04'S01'S03'S04'S06'S04
妖 P02'S15'S04'S01'S04'S01'S04'S05
妨 P02'S15'S04'S01'S06'S01'S20'S04
努 P15'S15'S04'S01'S09'S05'S20'S04
忍 P11'S20'S04'S06'S06'S24'S06'S06
劲 P01'S09'S06'S01'S03'S01'S20'S04
鸡 P02'S09'S05'S04'S20'S06'S29'S01
驱 P02'S08'S29'S01'S01'S11'S04'S06
纯 P02'S14'S14'S02'S01'S11'S03'S24
纱 P02'S14'S14'S02'S03'S04'S06'S04
纳 P02'S14'S14'S02'S03'S20'S04'S06
纲 P02'S14'S14'S02'S03'S20'S04'S06
驳 P04'S08'S29'S01'S04'S06'S04'S06
纵 P04'S14'S14'S02'S04'S05'S04'S05
纷 P02'S14'S14'S02'S04'S05'S20'S04
纸 P02'S14'S14'S02'S04'S13'S01'S17
纹 P02'S14'S14'S02'S06'S01'S04'S05
纺 P02'S14'S14'S02'S06'S01'S20'S04
驴 P02'S08'S29'S01'S06'S08'S01'S04
纽 P02'S14'S14'S02'S08'S01'S04'S01
奉 P11'S01'S01'S01'S04'S05'S01'S01'S03
玩 P02'S01'S01'S03'S01'S01'S01'S04'S24
环 P02'S01'S01'S03'S01'S01'S04'S03'S06
武 P38'S01'S01'S17'S06'S03'S01'S03'S01
青 P12'S01'S01'S03'S01'S03'S20'S01'S01
责 P12'S01'S01'S03'S01'S03'S08'S04'S06
现 P02'S01'S01'S03'S01'S03'S08'S04'S24
表 P21'S01'S01'S03'S01'S04'S13'S04'S05
规 P02'S01'S01'S04'S05'S03'S08'S04'S24
抹 P02'S01'S12'S02'S01'S01'S03'S04'S05
拢 P02'S01'S12'S02'S01'S04'S24'S04'S06
拔 P04'S01'S12'S02'S01'S04'S09'S05'S06
拣 P02'S01'S12'S02'S01'S14'S20'S04'S06
担 P02'S01'S12'S02'S03'S08'S01'S01'S01
坦 P02'S01'S03'S01'S03'S08'S01'S01'S01
押 P02'S01'S12'S02'S03'S08'S01'S01'S03
抽 P02'S01'S12'S02'S03'S08'S01'S03'S01
拐 P02'S01'S12'S02'S03'S08'S01'S20'S04
拖 P04'S01'S12'S02'S04'S01'S20'S03'S24
拍 P02'S01'S12'S02'S04'S03'S08'S01'S01
者 P11'S01'S03'S01'S04'S03'S08'S01'S01
顶 P02'S01'S12'S01'S04'S03'S08'S04'S05
拆 P02'S01'S12'S02'S04'S04'S01'S03'S06
拥 P02'S01'S12'S02'S04'S20'S01'S01'S03
抵 P02'S01'S12'S02'S04'S13'S01'S17'S06
拘 P02'S01'S12'S02'S04'S20'S03'S08'S01
势 P15'S01'S12'S02'S04'S27'S20'S04
抱 P02'S01'S12'S02'S04'S20'S08'S01'S24
垃 P02'S01'S03'S01'S06'S01'S06'S04'S01
拉 P02'S01'S12'S02'S06'S01'S06'S04'S01
拦 P02'S01'S12'S02'S06'S04'S01'S01'S01
拌 P02'S01'S12'S02'S06'S04'S01'S01'S03
幸 P12'S01'S03'S01'S06'S04'S01'S01'S03
招 P04'S01'S12'S02'S20'S04'S03'S08'S01
坡 P02'S01'S03'S01'S04'S10'S03'S09'S05
披 P02'S01'S12'S02'S04'S10'S03'S09'S05
拨 P02'S01'S12'S02'S11'S04'S09'S05'S06
择 P02'S01'S12'S02'S09'S05'S01'S01'S03
抬 P04'S01'S12'S02'S14'S06'S03'S08'S01
其 P21'S01'S03'S03'S01'S01'S01'S04'S06
取 P01'S01'S03'S03'S01'S01'S01'S09'S05
苦 P12'S01'S03'S03'S01'S03'S03'S08'S01
若 P12'S01'S03'S03'S01'S04'S03'S08'S01
茂 P12'S01'S03'S03'S01'S04'S17'S04'S06
苹 P12'S01'S03'S03'S01'S06'S04'S01'S03
苗 P12'S01'S03'S03'S03'S08'S01'S03'S01
英 P12'S01'S03'S03'S03'S08'S01'S04'S05
范 P14'S01'S03'S03'S06'S06'S02'S20'S24
直 P12'S01'S04'S03'S08'S01'S01'S01'S01
茄 P14'S01'S03'S03'S20'S04'S03'S08'S01
茎 P12'S01'S03'S03'S09'S06'S01'S03'S01
茅 P12'S01'S03'S03'S09'S06'S10'S12
林 P02'S01'S03'S04'S05'S01'S03'S04'S05
枝 P02'S01'S03'S04'S05'S01'S03'S09'S05
杯 P02'S01'S03'S04'S05'S01'S04'S03'S06
柜 P02'S01'S03'S04'S05'S01'S08'S01'S11
析 P02'S01'S03'S04'S05'S04'S04'S01'S03
板 P02'S01'S03'S04'S05'S04'S04'S09'S05
松 P02'S01'S03'S04'S05'S04'S05'S14'S06
枪 P02'S01'S03'S04'S05'S04'S05'S20'S24
构 P02'S01'S03'S04'S05'S04'S20'S14'S06
杰 P11'S01'S03'S04'S05'S06'S06'S06'S06
述 P37'S01'S03'S04'S05'S06'S06'S26'S05
枕 P02'S01'S03'S04'S05'S06'S10'S04'S24
丧 P21'S01'S03'S06'S04'S01'S13'S04'S05
或 P38'S01'S17'S04'S06'S03'S08'S01'S01
画 P33'S01'S03'S08'S01'S03'S01'S11'S03
卧 P01'S01'S03'S08'S01'S03'S11'S03'S06
事 P21'S01'S03'S08'S01'S08'S01'S01'S12
刺 P01'S01'S03'S20'S03'S04'S06'S03'S12'S03'S12
枣 P11'S01'S03'S20'S03'S04'S06'S03'S12'S06'S06
雨 P21'S01'S03'S20'S03'S06'S06'S06'S06
卖 P14'S01'S03'S01'S10'S06'S06'S01'S04'S06
矿 P02'S01'S04'S03'S08'S01'S06'S01'S04
码 P02'S01'S04'S03'S08'S01'S08'S29'S01
厕 P36'S01'S04'S03'S08'S04'S06'S03'S12
奔 P14'S01'S04'S05'S01'S03'S01'S04'S03
奇 P12'S01'S04'S05'S01'S03'S08'S12
奋 P12'S01'S04'S05'S03'S08'S01'S03'S01
态 P11'S01'S04'S05'S06'S06'S24'S06'S06
欧 P01'S01'S11'S04'S06'S04'S10'S04'S05
垄 P11'S01'S04'S24'S04'S06'S01'S03'S01
妻 P11'S01'S08'S01'S01'S03'S15'S04'S01
轰 P14'S01'S14'S01'S03'S09'S05'S09'S05
顷 P02'S04'S24'S01'S04'S03'S08'S04'S05
转 P02'S01'S14'S01'S03'S01'S01'S23'S06
斩 P02'S01'S14'S01'S03'S04'S04'S01'S03
轮 P02'S01'S14'S01'S03'S04'S05'S04'S24
软 P02'S01'S14'S01'S03'S04'S10'S04'S05
到 P01'S01'S14'S06'S01'S03'S01'S03'S12
非 P21'S03'S01'S01'S01'S03'S01'S01'S01
叔 P05'S03'S01'S01'S12'S04'S06'S09'S05
肯 P12'S03'S01'S03'S01'S03'S20'S01'S01
齿 P14'S03'S01'S03'S01'S04'S05'S11'S03
些 P15'S03'S01'S03'S01'S04'S24'S01'S01
虎 P36'S03'S01'S10'S04'S01'S24'S04'S27
虏 P36'S03'S01'S10'S04'S01'S24'S20'S04
肾 P15'S03'S03'S09'S05'S03'S20'S01'S01
贤 P15'S03'S03'S09'S05'S03'S08'S04'S06
尚 P12'S03'S06'S04'S03'S20'S03'S08'S01
旺 P02'S03'S08'S01'S01'S01'S01'S03'S01
具 P11'S03'S08'S01'S01'S01'S01'S04'S05
果 P21'S03'S08'S01'S01'S01'S03'S04'S05
味 P02'S03'S08'S01'S01'S01'S03'S04'S05
昆 P14'S03'S08'S01'S01'S04'S24'S04'S24
国 P31'S03'S08'S01'S01'S01'S03'S01'S06
昌 P12'S03'S08'S01'S01'S03'S08'S01'S01
畅 P02'S03'S08'S01'S01'S03'S30'S04'S04
明 P02'S03'S08'S01'S01'S04'S20'S01'S01
易 P12'S03'S08'S01'S01'S04'S20'S04'S04
昂 P14'S03'S08'S01'S01'S04'S13'S20'S03
典 P11'S03'S08'S01'S03'S03'S01'S04'S05
固 P31'S03'S08'S01'S01'S03'S03'S08'S01
忠 P11'S03'S08'S01'S03'S06'S24'S06'S06
咐 P04'S03'S08'S01'S04'S05'S01'S12'S06
呼 P02'S03'S08'S01'S04'S06'S04'S01'S12
鸣 P02'S03'S08'S01'S04'S20'S06'S29'S01
咏 P02'S03'S08'S01'S06'S20'S09'S04'S05
呢 P04'S03'S08'S01'S08'S01'S04'S04'S24
岸 P14'S03'S11'S03'S01'S04'S01'S01'S03
岩 P12'S03'S11'S03'S01'S04'S03'S08'S01
帖 P02'S03'S20'S03'S03'S01'S03'S08'S01
罗 P12'S03'S08'S03'S03'S01'S04'S09'S06
帜 P02'S03'S20'S03'S03'S08'S01'S04'S05
岭 P02'S03'S11'S03'S04'S05'S06'S09'S06
凯 P05'S03'S11'S03'S08'S01'S24'S04'S27
败 P01'S03'S08'S04'S06'S04'S01'S04'S05
贩 P02'S03'S08'S04'S06'S04'S27'S06
购 P02'S03'S08'S04'S06'S04'S20'S14'S06
图 P31'S03'S08'S01'S04'S09'S05'S06'S06
钓 P02'S04'S01'S01'S01'S13'S04'S20'S06
制 P01'S04'S01'S01'S03'S20'S03'S03'S12
知 P01'S04'S01'S01'S04'S06'S03'S08'S01
垂 P21'S04'S01'S03'S01'S03'S04'S01'S01
牧 P02'S04'S01'S01'S03'S04'S01'S04'S05
物 P02'S04'S01'S01'S03'S04'S01'S01'S03
乖 P21'S04'S01'S03'S03'S01'S01'S04'S24
刮 P01'S04'S01'S03'S03'S08'S01'S03'S12
秆 P02'S04'S01'S03'S04'S05'S01'S01'S03
和 P01'S04'S01'S03'S04'S05'S03'S08'S01
季 P11'S04'S01'S03'S04'S05'S09'S12'S01
委 P11'S04'S01'S03'S04'S05'S15'S04'S01
佳 P02'S04'S05'S01'S03'S01'S01'S03'S01
侍 P04'S04'S03'S01'S03'S01'S01'S12'S06
供 P02'S04'S03'S01'S03'S03'S01'S03'S08'S01'S01'S04'S05
使 P02'S04'S03'S01'S03'S08'S01'S04'S05
例 P04'S04'S03'S01'S04'S09'S06'S03'S12
版 P02'S04'S03'S01'S08'S04'S27'S06
侄 P02'S04'S03'S01'S14'S06'S01'S03'S01
侦 P02'S04'S03'S03'S01'S03'S08'S04'S06
侧 P04'S04'S03'S03'S08'S04'S06'S03'S12
凭 P15'S04'S03'S04'S01'S03'S01'S04'S27
侨 P04'S04'S03'S04'S01'S04'S05'S04'S03
佩 P04'S04'S03'S04'S21'S01'S03'S20'S03
货 P15'S04'S03'S04'S01'S01'S21'S03'S08'S04'S06
依 P02'S04'S03'S06'S01'S04'S13'S04'S05
的 P01'S04'S03'S08'S01'S01'S04'S20'S06
迫 P37'S04'S03'S08'S01'S01'S06'S26'S05
质 P36'S04'S04'S01'S03'S03'S08'S04'S06
欣 P02'S04'S04'S01'S03'S04'S10'S04'S05
征 P02'S04'S04'S03'S01'S03'S01'S03'S01
往 P02'S04'S04'S03'S06'S01'S01'S03'S01
爬 P37'S04'S04'S03'S05'S08'S03'S01'S24
彼 P02'S04'S04'S03'S04'S10'S03'S09'S05
径 P02'S04'S04'S03'S09'S06'S01'S03'S01
所 P02'S04'S16'S04'S08'S01'S04'S04'S01'S03
舍 P14'S04'S03'S01'S01'S03'S03'S08'S01
金 P12'S04'S05'S01'S01'S03'S06'S04'S01
命 P17'S04'S05'S01'S03'S08'S01'S20'S03
斧 P12'S04'S06'S04'S05'S04'S04'S01'S03
爸 P12'S04'S06'S04'S05'S08'S03'S01'S24
采 P12'S04'S06'S06'S04'S01'S03'S04'S05
受 P14'S04'S06'S06'S04'S06'S10'S09'S05
乳 P05'S04'S06'S06'S04'S09'S12'S01'S24
贪 P11'S04'S05'S06'S09'S03'S08'S04'S06
念 P11'S04'S05'S06'S09'S06'S24'S06'S06
贫 P11'S04'S05'S20'S04'S03'S08'S04'S06
肤 P02'S04'S20'S01'S01'S01'S01'S04'S05
肺 P02'S04'S20'S01'S01'S01'S03'S20'S03
肢 P02'S04'S20'S01'S01'S01'S03'S09'S05
肿 P02'S04'S20'S01'S01'S03'S08'S01'S03
胀 P02'S04'S20'S01'S01'S04'S01'S13'S05
朋 P01'S04'S20'S01'S01'S04'S20'S01'S01
股 P04'S04'S20'S01'S01'S04'S27'S09'S05
肥 P02'S04'S20'S01'S01'S08'S03'S01'S24
服 P02'S04'S20'S01'S01'S20'S03'S09'S05
胁 P02'S04'S20'S01'S01'S20'S04'S06'S06
周 P32'S04'S20'S01'S03'S01'S03'S08'S01
昏 P11'S04'S13'S01'S17'S03'S08'S01'S01
鱼 P21'S04'S09'S03'S08'S01'S03'S01'S01
兔 P21'S04'S09'S03'S08'S01'S04'S24'S06
狐 P02'S04'S16'S04'S04'S04'S13'S06'S05
忽 P11'S04'S20'S04'S04'S06'S24'S06'S06
狗 P02'S04'S16'S04'S04'S20'S03'S08'S01
备 P12'S04'S09'S05'S03'S08'S01'S03'S01
饰 P04'S04'S10'S13'S04'S01'S03'S20'S03
饱 P02'S04'S10'S13'S04'S20'S08'S01'S24
饲 P02'S04'S10'S13'S20'S01'S03'S08'S01
变 P11'S06'S01'S03'S03'S04'S06'S09'S05
京 P13'S06'S01'S03'S08'S01'S12'S04'S06
享 P13'S06'S01'S03'S08'S01'S09'S12'S01
店 P36'S06'S01'S04'S03'S01'S03'S08'S01
夜 P14'S06'S01'S04'S03'S04'S09'S06'S05
庙 P36'S06'S01'S04'S03'S08'S01'S03'S01
府 P36'S06'S01'S04'S04'S03'S01'S12'S06
底 P36'S06'S01'S04'S04'S13'S01'S17'S06
剂 P05'S06'S01'S04'S05'S04'S03'S03'S12
郊 P01'S06'S01'S04'S06'S04'S05'S28'S03
废 P36'S06'S01'S04'S11'S04'S09'S05'S06
净 P02'S06'S02'S04'S09'S08'S01'S01'S12
盲 P12'S06'S01'S11'S03'S08'S01'S01'S01
放 P01'S06'S01'S20'S04'S04'S01'S04'S05
刻 P01'S06'S01'S14'S04'S04'S06'S03'S12
育 P12'S06'S01'S14'S06'S03'S20'S01'S01
闸 P32'S06'S03'S20'S03'S08'S01'S01'S03
闹 P32'S06'S03'S20'S06'S01'S03'S20'S03
郑 P01'S06'S04'S01'S01'S04'S05'S28'S03
券 P11'S06'S04'S01'S01'S04'S05'S20'S04
卷 P11'S06'S04'S01'S01'S04'S05'S20'S24
单 P12'S06'S04'S03'S08'S01'S01'S01'S03
炒 P02'S06'S04'S04'S05'S03'S04'S06'S04
炊 P02'S06'S04'S04'S05'S04'S10'S04'S05
炕 P02'S06'S04'S04'S05'S06'S01'S04'S27
炎 P12'S06'S04'S04'S05'S06'S04'S04'S05
炉 P02'S06'S04'S04'S05'S06'S08'S01'S04
沫 P02'S06'S06'S02'S01'S01'S03'S04'S05
浅 P02'S06'S06'S02'S01'S01'S17'S04'S06
法 P02'S06'S06'S02'S01'S03'S01'S14'S06
泄 P02'S06'S06'S02'S01'S03'S03'S01'S11
河 P02'S06'S06'S02'S01'S03'S08'S12
沾 P02'S06'S06'S02'S03'S01'S03'S08'S01
泪 P02'S06'S06'S02'S03'S08'S01'S01'S01
油 P02'S06'S06'S02'S03'S08'S01'S03'S01
泊 P02'S06'S06'S02'S04'S03'S08'S01'S01
沿 P04'S06'S06'S02'S04'S27'S03'S08'S01
泡 P02'S06'S06'S02'S04'S20'S08'S01'S24
注 P02'S06'S06'S02'S06'S01'S01'S03'S01
泻 P04'S06'S06'S02'S06'S10'S01'S29'S01
泳 P02'S06'S06'S02'S06'S20'S09'S04'S05
泥 P04'S06'S06'S02'S08'S01'S04'S04'S24
沸 P02'S06'S06'S02'S08'S01'S29'S04'S03
波 P02'S06'S06'S02'S04'S10'S03'S09'S05
泼 P02'S06'S06'S02'S11'S04'S09'S05'S06
泽 P04'S06'S06'S02'S09'S05'S01'S01'S03
治 P04'S06'S06'S02'S14'S06'S03'S08'S01
怖 P02'S06'S06'S03'S01'S04'S03'S20'S03
性 P02'S06'S06'S03'S04'S01'S01'S03'S01
怕 P02'S06'S06'S03'S04'S03'S08'S01'S01
怜 P02'S06'S06'S03'S04'S05'S06'S09'S06
怪 P04'S06'S06'S03'S09'S05'S01'S03'S01
学 P13'S06'S06'S04'S06'S10'S09'S12'S01
宝 P12'S06'S06'S10'S01'S01'S03'S01'S06
宗 P12'S06'S06'S10'S01'S01'S12'S04'S06
定 P12'S06'S06'S10'S01'S03'S01'S04'S05
宜 P12'S06'S06'S10'S03'S08'S01'S01'S01
审 P12'S06'S06'S10'S03'S08'S01'S01'S03
宙 P12'S06'S06'S10'S03'S08'S01'S03'S01
官 P12'S06'S06'S10'S03'S08'S01'S08'S01
空 P11'S06'S06'S10'S04'S06'S01'S03'S01
帘 P11'S06'S06'S10'S04'S06'S03'S20'S03
实 P12'S06'S06'S10'S06'S06'S01'S04'S06
试 P02'S06'S19'S01'S17'S06'S01'S03'S01
郎 P01'S06'S08'S01'S01'S13'S06'S28'S03
诗 P04'S06'S19'S01'S03'S01'S01'S12'S06
肩 P36'S06'S08'S01'S04'S03'S20'S01'S01
房 P36'S06'S08'S01'S04'S06'S01'S20'S04
诚 P02'S06'S19'S01'S04'S20'S17'S04'S06
衬 P01'S06'S09'S03'S04'S06'S01'S12'S06
衫 P01'S06'S09'S03'S04'S06'S04'S04'S04
视 P02'S06'S09'S03'S06'S03'S08'S04'S24
话 P02'S06'S19'S04'S01'S03'S03'S08'S01
诞 P04'S06'S19'S04'S03'S01'S11'S26'S05
询 P04'S06'S19'S04'S20'S03'S08'S01'S01
该 P02'S06'S19'S06'S01'S14'S04'S04'S06
详 P02'S06'S19'S06'S04'S01'S01'S01'S03
建 P37'S08'S01'S01'S01'S01'S03'S26'S05
肃 P21'S08'S01'S01'S03'S04'S03'S04'S06
录 P12'S08'S01'S01'S12'S06'S02'S04'S06
隶 P21'S08'S01'S01'S12'S06'S01'S04'S05
居 P36'S08'S01'S04'S01'S03'S03'S08'S01
届 P36'S08'S01'S04'S03'S08'S01'S03'S01
刷 P05'S08'S01'S04'S03'S20'S03'S03'S12
屈 P36'S08'S01'S04'S11'S03'S03'S11'S03
弦 P02'S08'S01'S29'S06'S01'S14'S14'S06
承 P21'S09'S12'S01'S01'S01'S09'S04'S05
孟 P12'S09'S12'S01'S01'S03'S08'S03'S03'S01
孤 P02'S09'S12'S01'S04'S04'S13'S06'S05
陕 P02'S28'S03'S01'S06'S04'S01'S04'S05
降 P02'S28'S03'S04'S09'S05'S01'S14'S03
限 P02'S28'S03'S08'S01'S01'S13'S04'S05
妹 P02'S15'S04'S01'S01'S01'S03'S04'S05
姑 P02'S15'S04'S01'S01'S03'S03'S08'S01
姐 P02'S15'S04'S01'S03'S08'S01'S01'S01
姓 P02'S15'S04'S01'S04'S01'S01'S03'S01
始 P04'S15'S04'S01'S14'S06'S03'S08'S01
驾 P15'S20'S04'S03'S08'S01'S08'S29'S01
参 P13'S14'S06'S01'S04'S05'S04'S04'S04
艰 P02'S09'S05'S08'S01'S01'S13'S04'S05
线 P02'S14'S14'S02'S01'S01'S17'S04'S06
练 P02'S14'S14'S02'S01'S14'S20'S04'S06
组 P02'S14'S14'S02'S03'S08'S01'S01'S01
细 P02'S14'S14'S02'S03'S08'S01'S03'S01
驶 P01'S08'S29'S01'S03'S08'S01'S04'S05
织 P02'S14'S14'S02'S03'S08'S01'S04'S05
终 P04'S14'S14'S02'S04'S09'S05'S06'S06
驻 P02'S08'S29'S01'S06'S01'S01'S03'S01
驼 P04'S08'S29'S01'S06'S06'S10'S04'S24
绍 P04'S14'S14'S02'S20'S04'S03'S08'S01
经 P02'S14'S14'S02'S09'S06'S01'S03'S01
贯 P11'S03'S08'S01'S03'S01'S03'S08'S04'S06
奏 P11'S01'S01'S01'S04'S05'S01'S01'S04'S05
春 P11'S01'S01'S01'S04'S05'S03'S08'S01'S01
帮 P15'S01'S01'S01'S04'S28'S03'S03'S20'S03
珍 P02'S01'S01'S03'S01'S04'S05'S04'S04'S04
玻 P02'S01'S01'S03'S01'S04'S10'S03'S09'S05
毒 P12'S01'S01'S03'S01'S14'S20'S01'S06'S06
型 P15'S01'S01'S04'S03'S03'S12'S01'S03'S01
挂 P02'S01'S12'S02'S01'S03'S01'S01'S03'S01
封 P01'S01'S03'S01'S01'S03'S01'S01'S12'S06
持 P04'S01'S12'S02'S01'S03'S01'S01'S12'S06
项 P02'S01'S03'S01'S01'S04'S03'S08'S04'S05
垮 P04'S01'S03'S01'S01'S04'S05'S01'S01'S29
挎 P04'S01'S12'S02'S01'S04'S05'S01'S01'S29
城 P02'S01'S03'S01'S01'S04'S20'S17'S04'S06
挠 P04'S01'S12'S02'S01'S17'S04'S01'S04'S24
政 P01'S01'S03'S01'S03'S01'S04'S01'S04'S05
赴 P37'S01'S03'S01'S03'S01'S04'S05'S03'S06
赵 P37'S01'S03'S01'S03'S01'S04'S05'S04'S06
挡 P02'S01'S12'S02'S03'S06'S04'S08'S01'S01
挺 P04'S01'S12'S02'S04'S01'S03'S01'S26'S05
括 P02'S01'S12'S02'S04'S01'S03'S03'S08'S01
拴 P04'S01'S12'S02'S04'S05'S01'S01'S03'S01
拾 P07'S01'S12'S02'S04'S05'S01'S03'S08'S01
挑 P02'S01'S12'S02'S04'S06'S02'S04'S06
指 P04'S01'S12'S02'S04'S24'S03'S08'S01'S01
垫 P15'S01'S12'S02'S04'S27'S01'S03'S01
挣 P02'S01'S12'S02'S04'S09'S08'S01'S01'S12
挤 P04'S01'S12'S02'S06'S01'S04'S05'S04'S03
拼 P02'S01'S12'S02'S06'S04'S01'S01'S04'S03
挖 P04'S01'S12'S02'S06'S06'S10'S04'S06'S27
按 P04'S01'S12'S02'S06'S06'S10'S15'S04'S01
挥 P04'S01'S12'S02'S06'S10'S01'S14'S01'S03
挪 P03'S01'S12'S02'S20'S01'S01'S04'S28'S03
