一 P21'S01
扣 P02'S01'S12'S02'S03'S08'S01
考 P36'S01'S03'S01'S04'S01'S29
托 P02'S01'S12'S02'S04'S01'S24
老 P36'S01'S03'S01'S04'S04'S24
执 P02'S01'S12'S02'S04'S27
巩 P02'S01'S03'S01'S04'S27'S06
圾 P02'S01'S03'S01'S04'S26
扩 P02'S01'S12'S02'S06'S01'S04
扫 P02'S01'S12'S02'S08'S01'S01
地 P02'S01'S03'S01'S20'S03'S24
扬 P02'S01'S12'S02'S30'S04'S04
场 P02'S01'S03'S01'S30'S04'S04
耳 P21'S01'S03'S03'S01'S01'S01
共 P21'S01'S03'S03'S01'S04'S06
芒 P12'S01'S03'S03'S06'S01'S11
亚 P21'S01'S03'S03'S06'S04'S01
芝 P12'S01'S03'S03'S06'S09'S05
朽 P02'S01'S03'S04'S05'S01'S29
朴 P01'S01'S03'S04'S05'S03'S06
机 P02'S01'S03'S04'S05'S04'S27
权 P02'S01'S03'S04'S05'S09'S05
过 P37'S01'S12'S06'S06'S26'S05
臣 P34'S01'S11'S03'S08'S01
再 P21'S01'S03'S20'S03'S01'S01
协 P02'S01'S03'S20'S04'S06'S06
西 P21'S01'S03'S08'S04'S11'S01
压 P36'S01'S04'S01'S03'S01'S06
厌 P36'S01'S04'S01'S04'S05'S06
在 P36'S01'S04'S01'S04'S03
有 P36'S01'S04'S04'S20'S01'S01
百 P12'S01'S04'S03'S08'S01'S01
存 P36'S01'S04'S03'S09'S12'S01
而 P21'S01'S04'S03'S20'S03'S03
页 P21'S01'S04'S03'S08'S04'S06
匠 P34'S01'S11'S04'S04'S01'S03
夸 P12'S01'S04'S05'S01'S01'S29
夺 P12'S01'S04'S05'S01'S12'S06
灰 P36'S01'S04'S06'S04'S04'S05
达 P37'S01'S04'S05'S06'S26'S05
列 P01'S01'S04'S09'S06'S03'S12
死 P21'S01'S04'S09'S06'S04'S24
成 P21'S01'S04'S20'S17'S04'S06
夹 P21'S01'S06'S04'S01'S04'S05
轨 P01'S01'S14'S01'S03'S04'S21
邪 P01'S01'S14'S12'S04'S28'S03
划 P01'S01'S17'S04'S06'S03'S12
迈 P37'S01'S20'S04'S06'S26'S05
毕 P15'S04'S24'S04'S24'S01'S03
至 P21'S01'S14'S06'S01'S03'S01
此 P01'S03'S01'S03'S01'S04'S24
贞 P12'S03'S01'S03'S08'S04'S06
师 P02'S03'S04'S01'S03'S20'S03
尘 P12'S03'S04'S06'S01'S03'S01
尖 P12'S03'S04'S06'S01'S04'S05
劣 P11'S03'S04'S06'S04'S20'S04
光 P12'S03'S06'S04'S01'S04'S24
当 P12'S03'S06'S04'S08'S01'S01
早 P11'S03'S08'S01'S01'S01'S03
吐 P02'S03'S08'S01'S01'S03'S01
吓 P02'S03'S08'S01'S01'S03'S06
虫 P21'S03'S08'S01'S03'S01'S06
曲 P21'S03'S08'S01'S03'S03'S01
团 P31'S03'S08'S01'S01'S12'S04
同 P32'S03'S20'S01'S03'S08'S01
吊 P12'S03'S08'S01'S03'S20'S03
吃 P02'S03'S08'S01'S04'S01'S27
因 P31'S03'S08'S01'S01'S04'S05
吸 P02'S03'S08'S01'S04'S26
吗 P02'S03'S08'S01'S08'S29'S01
屿 P02'S03'S11'S03'S01'S29'S01
帆 P02'S03'S20'S03'S04'S27'S06
岁 P11'S03'S11'S03'S04'S09'S06
回 P31'S03'S08'S01'S03'S08'S01
岂 P12'S03'S11'S03'S08'S01'S24
刚 P01'S03'S20'S04'S06'S03'S12
则 P01'S03'S08'S04'S06'S03'S12
肉 P21'S03'S20'S04'S06'S04'S06
网 P32'S03'S20'S04'S06'S04'S06
年 P21'S04'S01'S01'S03'S01'S03
朱 P21'S04'S01'S01'S03'S04'S05
先 P21'S04'S01'S03'S01'S04'S24
丢 P12'S04'S01'S03'S01'S14'S06
舌 P12'S04'S01'S03'S03'S08'S01
竹 P02'S04'S01'S03'S04'S01'S12
